Yazı görüntüsü,Yazı başlığı,Yayınlama tarihi,Yazı görüntülenmeleri,Tekil ziyaretçiler,Yorumlar,Beğeniler,wix_url,live_headline,live_published_date,wix_visible_author,wix_author_profile_url,resolution_status,match_method,notes,manual_search_query
https://manage.wix.com/analytics-ng/assets/svg/placeholder.svg,Cobra Kai Bitti mi? 7. Sezon Var mı?,18.02.2025,2.438,2.134,0,3,https://www.benizledim.com/post/cobra-kai-bitti-mi-7-sezon-var-mı,Cobra Kai Bitti mi? 7. Sezon Var mı?,2025-02-18T14:32:35.470Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Cobra Kai Bitti mi? 7. Sezon Var mı?"""
"https://static.wixstatic.com/media/2031bc_1a9d28fef89445e4ab4af8f4b008f331~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_1a9d28fef89445e4ab4af8f4b008f331~mv2.jpg",Loki 3. Sezon Gelecek Mi? Loki Bitti Mi?,11.11.2023,1.534,1.409,1,0,https://www.benizledim.com/post/loki-bitti-mi-3-sezon-gelecek-mi,Loki 3. Sezon Gelecek Mi? Loki Bitti Mi?,2023-11-11T11:32:29.153Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Loki 3. Sezon Gelecek Mi? Loki Bitti Mi?"""
"https://static.wixstatic.com/media/34960a_21698d834789478c819ebaf7d83d0f29~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/34960a_21698d834789478c819ebaf7d83d0f29~mv2.jpeg",Ateş Böceklerinin Mezarı,01.08.2023,1.270,1.091,0,1,https://www.benizledim.com/post/ateş-böceklerinin-mezarı,Ateş Böceklerinin Mezarı,2023-08-01T12:08:19.600Z,Hümeyra Fidan,https://www.benizledim.com/profile/humeyrafidan8/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Ateş Böceklerinin Mezarı"""
"https://static.wixstatic.com/media/842c16_309f7f2ad8814de0a85ca20e1c921317~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/842c16_309f7f2ad8814de0a85ca20e1c921317~mv2.jpg",En İyi 10 Mitolojik Film & Gerçek Hikayeleri,23.09.2022,989,885,0,0,,,,,,missing_live_match,,,"site:benizledim.com/post ""En İyi 10 Mitolojik Film & Gerçek Hikayeleri"""
"https://static.wixstatic.com/media/e2372f_1534a5a0e55942efaea95a419f33e0ec~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/e2372f_1534a5a0e55942efaea95a419f33e0ec~mv2.jpeg",Ben O Değilim,11.10.2022,812,747,1,0,https://www.benizledim.com/post/ben-o-değilim,Ben O Değilim,2022-10-11T13:39:49.301Z,Gökçe Serim,https://www.benizledim.com/profile/serimgokce/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Ben O Değilim"""
"https://static.wixstatic.com/media/61dd5d_2d37178522a745eea39139f2ea733e5c~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_2d37178522a745eea39139f2ea733e5c~mv2.jpg",İskandinav Sinemasının İncileri: Mutlaka İzlemeniz Gereken Filmler,05.03.2024,590,519,0,0,https://www.benizledim.com/post/i-skandinav-sinemasının-i-ncileri-mutlaka-i-zlemeniz-gereken-filmler,İskandinav Sinemasının İncileri: Mutlaka İzlemeniz Gereken Filmler,2024-03-05T06:55:36.908Z,Nedir,https://www.benizledim.com/profile/61a5a6b1-f155-4490-9f1b-26bf2b325514/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""İskandinav Sinemasının İncileri: Mutlaka İzlemeniz Gereken Filmler"""
"https://static.wixstatic.com/media/61dd5d_1783979a9fe64fc8af47841913c4bd4a~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_1783979a9fe64fc8af47841913c4bd4a~mv2.png",2025'in En İyi Filmleri: Yeni Vizyon Filmleri Süper Kahraman ve Aksiyon Bombası Yapımlar!,06.01.2025,542,452,0,0,,,,,,missing_live_match,,,"site:benizledim.com/post ""2025'in En İyi Filmleri: Yeni Vizyon Filmleri Süper Kahraman ve Aksiyon Bombası Yapımlar!"""
"https://static.wixstatic.com/media/857a1e_fa3b7157b20e4cf98ce71a55acd0ce63~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/857a1e_fa3b7157b20e4cf98ce71a55acd0ce63~mv2.png",JAULA - 'Kafestekiler',20.11.2022,534,471,0,0,https://www.benizledim.com/post/jaula-kafesteki-ler,JAULA - 'Kafestekiler',2022-11-20T18:08:52.200Z,Emel Timorci,https://www.benizledim.com/profile/timorciemel/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""JAULA - 'Kafestekiler'"""
"https://static.wixstatic.com/media/61dd5d_d437ba1fd82c466d8db65607543016ef~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_d437ba1fd82c466d8db65607543016ef~mv2.jpg",Mayhem İzmir Lord of Chaos,22.08.2022,485,370,0,0,https://www.benizledim.com/post/mayhemizmirlordofchaos,"Mayhem, İzmir, Lord of Chaos",2022-08-22T11:56:00.342Z,Gurur Sönmez,https://www.benizledim.com/profile/gurursonmez/profile,resolved,normalized_title,unique live title match,"site:benizledim.com/post ""Mayhem İzmir Lord of Chaos"""
"https://static.wixstatic.com/media/61dd5d_8ca8c254f5d34b3c8bce0f6418ec3a08~mv2.png/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_8ca8c254f5d34b3c8bce0f6418ec3a08~mv2.png",2025'in En İyi Aksiyon Filmleri: Black Bag Warfare ve Thunderbolts Zirvede!,21.05.2025,467,396,0,1,https://www.benizledim.com/post/2025-in-en-i̇yi-aksiyon-filmleri-black-bag-warfare-ve-thunderbolts-zirvede,"2025'in En İyi Aksiyon Filmleri: Black Bag, Warfare ve Thunderbolts Zirvede!",2025-05-21T07:37:14.006Z,Ben İzledim,https://www.benizledim.com/profile/benizledimblog/profile,resolved,normalized_title,unique live title match,"site:benizledim.com/post ""2025'in En İyi Aksiyon Filmleri: Black Bag Warfare ve Thunderbolts Zirvede!"""
"https://static.wixstatic.com/media/2031bc_4f9d4392f9e24b12bdf6cc898140751d~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_4f9d4392f9e24b12bdf6cc898140751d~mv2.webp",Thunderbolts After Credits Var mı?,01.05.2025,435,380,0,2,https://www.benizledim.com/post/thunderbolts-after-credits-var-mı,Thunderbolts After Credits Var mı?,2025-05-01T09:45:41.407Z,Alphan Karabat,https://www.benizledim.com/profile/alphankarabat/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Thunderbolts After Credits Var mı?"""
"https://static.wixstatic.com/media/61dd5d_1f7b1712524c490f8bcc7280420eadef~mv2.webp/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_1f7b1712524c490f8bcc7280420eadef~mv2.webp",2024 Yılının En İyi Filmleri (IMDB Puanlarına Göre Sıralı),15.12.2024,340,304,0,0,https://www.benizledim.com/post/2024-yılının-en-i-yi-filmleri-imdb-puanlarına-göre-sıralı,2024 Yılının En İyi Filmleri (IMDB Puanlarına Göre Sıralı),2024-12-15T18:32:15.290Z,Nedir,https://www.benizledim.com/profile/61a5a6b1-f155-4490-9f1b-26bf2b325514/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""2024 Yılının En İyi Filmleri (IMDB Puanlarına Göre Sıralı)"""
"https://static.wixstatic.com/media/61dd5d_6e86b4b157ff48e3aba94c6dd55aae96~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/61dd5d_6e86b4b157ff48e3aba94c6dd55aae96~mv2.jpeg",En Gerçekçi Korku Deneyimi: Found Footage Tarzının Zirve Yaptığı Filmler Listesi,07.03.2024,277,219,0,1,https://www.benizledim.com/post/en-gerçekçi-korku-deneyimi-found-footage-tarzının-zirve-yaptığı-filmler-listesi,En Gerçekçi Korku Deneyimi: Found Footage Tarzının Zirve Yaptığı Filmler Listesi,2024-03-07T10:20:44.662Z,Melike Zeynep Korkmaz,https://www.benizledim.com/profile/melikezeynepkorkmaz/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""En Gerçekçi Korku Deneyimi: Found Footage Tarzının Zirve Yaptığı Filmler Listesi"""
"https://static.wixstatic.com/media/2031bc_67a38ffcdd534828b6bc53e735fc784c~mv2.jpg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01/2031bc_67a38ffcdd534828b6bc53e735fc784c~mv2.jpg",Rüya Satan Adam,16.11.2022,268,238,0,0,https://www.benizledim.com/post/ruya-satan-adam,Rüya Satan Adam,2022-11-15T23:06:05.186Z,Emel Timorci,https://www.benizledim.com/profile/timorciemel/profile,resolved,exact_title,unique live title match,"site:benizledim.com/post ""Rüya Satan Adam"""
